mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin
13.5,6,285.5,108.8,3286,18.7,77,1
9.0,8,373.6,152.4,3652,14.8,80,3
9.0,6,276.6,141.9,3792,16.8,80,3
18.5,4,185.3,80.5,2781,18.6,70,1
13.0,6,263.5,95.8,3374,17.0,72,1
14.4,6,242.1,80.7,3103,19.7,77,3
10.2,6,249.4,132.6,3245,16.7,78,3
19.7,4,189.7,94.3,2700,19.1,80,2
9.0,8,365.9,142.0,3888,15.7,78,3
9.0,8,370.9,131.5,3513,13.7,74,3
19.6,4,177.6,61.6,2629,20.6,70,1
13.9,6,287.0,123.9,3427,16.6,74,3
25.5,4,159.0,83.6,2284,21.6,71,1
9.0,8,361.3,101.9,3630,21.0,77,1
9.0,8,376.9,174.4,3899,14.2,74,3
13.1,6,256.3,113.0,3154,15.3,82,2
13.9,6,291.0,126.1,2986,17.9,79,1
23.0,4,175.4,84.6,2458,18.7,70,2
22.3,4,178.1,74.0,2233,20.8,71,1
18.1,4,157.0,65.0,2684,19.7,70,1
9.9,6,288.7,130.0,3472,18.3,80,3
20.5,4,180.9,64.6,2630,21.6,76,1
9.0,8,326.6,105.1,3900,17.4,72,2
22.4,4,181.5,74.7,2264,22.3,70,2
20.5,4,194.7,85.7,2294,16.2,72,3
17.1,4,168.8,57.8,2994,19.8,74,3
12.1,6,261.5,95.4,3106,16.6,74,1
9.0,8,363.7,148.4,3690,15.4,71,1
14.9,6,291.0,108.3,3400,17.8,80,1
22.1,4,183.4,74.9,2518,17.1,70,1
14.6,6,283.4,132.4,3112,15.8,70,1
15.8,4,204.8,52.8,3017,22.3,72,2
9.0,8,362.1,130.0,4047,17.8,73,3
9.9,6,277.1,117.3,3774,14.2,77,3
27.4,4,183.1,74.6,2039,17.9,76,1
11.3,6,262.2,96.5,3411,20.7,82,1
9.3,6,280.6,119.8,3385,16.7,79,2
20.6,4,172.2,77.0,2598,19.2,73,1
